# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     0    35     -     0     0     0     0  7000  1410
    0    28    36     -     1     0     0     0  7000  1410
    0    28    36     -     0     0     0     0  7000  1410
    0    28    36     -     0     0     0     0  7000  1410
    0    28    36     -     0     0     0     0  7000  1410
    0    29    36     -     0     0     0     0  7000  1410
    0    29    36     -     0     0     0     0  7000  1410
    0    28    36     -     0     0     0     0  7000  1410
    0    29    36     -     0     0     0     0  7000  1410
    0    29    36     -     0     0     0     0  7000  1410
    0    29    36     -     0     0     0     0  7000  1410
    0    15    35     -     0     0     0     0   405   420
    0    15    34     -     0     0     0     0   405   315
    0    15    34     -     0     0     0     0   405   315
    0    15    34     -     0     0     0     0   405   300
    0    15    34     -     0     0     0     0   405   300
    0    15    34     -     0     0     0     0   405   300
    0    15    34     -     0     0     0     0   405   300
    0    15    34     -     0     0     0     0   405   300
    0    27    35     -     1     0     0     0  6801  1410
    0    31    36     -     0     1     0     0  6801  1410
    0    28    36     -     1     2     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    28    36     -     0     0     0     0  6801  1410
    0    22    36     -     0     0     0     0  6801  1410
    0    60    40     -    15     0     0     0  6801  1905
    0    68    39     -    57     3     0     0  6801  1890
    0    45    41     -    63     3     0     0  6801  1890
    0    91    42     -    58     3     0     0  6801  1890
    0    91    40     -    73     3     0     0  6801  1890
    0    39    42     -    77     4     0     0  6801  1890
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    91    43     -    60     3     0     0  6801  1890
    0    52    41     -    71     3     0     0  6801  1890
    0    76    42     -    77     4     0     0  6801  1890
